web,Source,Species,Interactions,Latitude,Longitude,Locality of Study,Reference
M_PL_064,WoL,22,32,-20.75,-42.92,"Reserva Florestal Mata do Paraíso, Brazil","Abreu, C.R.M. & Vieira, M.F. (2004) Os beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana, 5, 129–134."
M_PL_065,WoL,26,44,19.5,-105.05,"Estacion de Biologia Chamela, Jalisco","Arizmendi, M.C. & Ornelas, J.F. (1990) Hummingbirds and their floral resources in a tropical dry forest inforest, in Mexico. Biotropica, 22, 172–180."
M_PL_001,WoL,185,361,-33.283334,-70.266668,"Cordón del Cepo, Chile","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97."
M_PL_002,WoL,107,196,-33.283334,-70.266668,"Cordón del Cepo, Chile","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97."
M_PL_003,WoL,61,81,-33.283334,-70.266668,"Cordón del Cepo, Chile","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97."
M_PL_004,WoL,114,167,46.553731,-66.071245,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046."
M_PL_058,WoL,113,319,42.2973,3.235217,Parc Natural del Cap de Creus,"Bartomeus, I., Vilà, M. & Santamaria, L., 2008. Contrasting effects of invasive plants in plant-pollinator networks. Oecologia 155: 761-770."
M_PL_049,WoL,262,590,56.066667,10.216667,Denmark,"Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
M_PL_059,WoL,26,71,-8.505,-37.201389,Parque Nacional do Catimbau,"Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096–1101."
M_PL_046,WoL,60,278,56.066667,10.233333,Denmark,"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark."
M_PL_066,WoL,36,73,-22.5,-44.83,"Serra da Mantiqueira, PNI, SE Brazil","Canela, M.B.F. (2006) Interações entre plantas e beija-flores numa comunidade de floresta atlântica montana em Itatiaia, RJ. Ph.D thesis. Universidade Estadual de Campinas, Brazil."
M_PL_005,WoL,371,923,38.841784,-105.043821,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
M_PL_006,WoL,78,146,52.762395,1.575532,"Hickling, Norfolk, UK","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43."
M_PL_007,WoL,52,85,52.413173,1.097873,"Shelfanger, Norfolk, UK","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43."
M_PL_047,WoL,205,425,56.066667,9.266667,Isenbjerg,"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353."
M_PL_048,WoL,266,671,56.1,9.1,Denmark,"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353."
M_PL_008,WoL,49,106,28.216667,-16.633333,"Tenerife, Canary Islands","Dupont YL, Hansen DM and Olesen JM (2003) Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography 26:301-310."
M_PL_010,WoL,107,456,74.5,-20.5,Zackenberg,Elberling & Olesen unpubl.
M_PL_009,WoL,142,242,68.35,18.5,"Latnjajaure, Abisko, Sweden","Elberling, H. & Olesen, J. M. 1999. The structure of a high latitude plant-pollinator system: The dominance of flies. Ecography 22:314-323."
M_PL_068,WoL,40,83,1.25,-77.43,Santuario de Flora y Fauna Galeras,"Gutierrez Zamora, E.A. & Rojas Nossa, S.V. (2001) Dinámica anual de la interacción colibrí-flor en ecosistemas altoandinos del volcán Galeras, Sur de Colombia. BSc. Thesis. Universidad Nacional de Colombia, Colombia."
M_PL_016,WoL,205,412,37.016667,-6.55,"Doñana Nat. Park, Spain","Herrera, J. (1988) Pollination relatioships in southern spanish mediterranean shrublands. Journal of Ecology 76: 274-287."
M_PL_014,WoL,110,179,81.816667,-71.3,"Hazen Camp, Ellesmere Island, Canada","Hocking, B. 1968. Insect-flower associations in the high Arctic with special reference to nectar. Oikos 19:359-388."
M_PL_041,WoL,74,145,15.518889,-61.467222,"Syndicate, Dominica","Ingversen TT (2006) MSc thesis (Univ of Aarhus, Aarhus, Denmark). (MSc, 2006, Tanja Toftemark Ingversen, Plant–pollinator interactions on Jamaica and Dominica: The centrality, asymmetry and modularity of networks)"
M_PL_040,WoL,72,114,18.353889,-77.645278,"Windsor, The Cockpit Country, Jamaica","Ingversen TT (2006). Plant–pollinator interactions on Jamaica and Dominica: The centrality, asymmetry and modularity of networks. Msc thesis (Univ of Aarhus, Aarhus, Denmark)."
M_PL_057,WoL,997,1920,35.166667,135.866667,"Kibune, Kyoto, Japan","Inoue et al 1990. Insect-flower Relationship in the Temperate Deciduous Forest of Kibune, Kyoto : An Overview of the Flowering Phenology and the Seasonal Pattern of Insect Visits."
