web	Latitude	Longitude	connectance	web.asymmetry	links.per.species	nestedness	n.aff	n.hosts	host.sharing	aff.sharing	modularity	z.est	zstar	zstarLO	zstarHI	coex.plant	coex.poll	Ntot	Nact	Nzyg	Nnon	PropZ	ZvA	lat.x	lat.sc	mnPoll	mdPoll	mnMNshared	mnRshared
M_PL_064	-20.75	-42.92	0.285714286	-0.272727273	1.454545455	19.52367157	8	14	1.035714286	1.010989011	0.315917969	0.410108735	0.445659148	0.383918962	0.507399334	1.824001523	2.978429287	14	6	8	0	0.571428571	1.333333333	4.55521679	0.102326931	2.285714286	2	1.010989011	0.492857143
M_PL_065	19.5	-105.05	0.419047619	-0.615384615	1.692307692	24.79112819	5	21	3.5	1.066666667	0.174070239	0.187030089	0.185098308	0.063282312	0.306914304	2.202502517	10.09366098	21	18	3	0	0.142857143	0.166666667	4.415880433	0.035156377	2.095238095	2	1.066666667	0.530952381
M_PL_001	-33.283334	-70.266668	0.042550684	0.091891892	1.951351351	2.82645198	101	84	0.274851485	0.487664945	0.446094632	0.557566926	0.590213149	0.579443945	0.600982353	2.712103393	1.99570695	84	65	19	0	0.226190476	0.292307692	5.769170998	0.68754373	4.297619048	3	0.487664945	0.141488708
M_PL_002	-33.283334	-70.266668	0.07122093	0.196261682	1.831775701	7.454400178	64	43	0.314980159	0.530454042	0.476429075	0.542925993	0.571513384	0.542182482	0.600844286	3.168061447	2.03224549	43	36	7	0	0.162790698	0.194444444	5.769170998	0.68754373	4.558139535	4	0.530454042	0.136705275
M_PL_003	-33.283334	-70.266668	0.09	-0.180327869	1.327868852	5.388426166	25	36	0.326666667	0.377777778	0.572626114	0.552455863	0.598376867	0.572708708	0.624045027	1.883956932	0.999994294	36	30	6	0	0.166666667	0.2	5.769170998	0.68754373	2.25	1.5	0.377777778	0.220837113
M_PL_004	46.553731	-66.071245	0.136437908	0.789473684	1.464912281	10.28272848	102	12	0.561056106	2.075757576	0.451109767	0.741093103	NA	NA	NA	5.560496072	1.222752879	12	11	1	0	0.083333333	0.090909091	6.823029459	1.195582395	13.91666667	5	2.075757576	0.229036486
M_PL_058	42.2973	3.235217	0.123070988	0.433628319	2.82300885	10.1378252	81	32	0.735802469	2.29233871	0.218924731	0.474435222	0.492313943	0.473781222	0.510846665	5.063831852	2.261337022	32	26	6	0	0.1875	0.230769231	6.503637444	1.041611535	9.96875	10	2.29233871	0.245794586
M_PL_049	56.066667	10.216667	0.070870871	0.717557252	2.251908397	5.110531077	225	37	0.339206349	2.687687688	0.383381218	0.633369258	0.671647379	0.646623355	0.696671403	8.600909851	1.580786002	37	24	13	0	0.351351351	0.541666667	7.487767825	1.516036046	15.94594595	12	2.687687688	0.214967121
M_PL_059	-8.505	-37.201389	0.420118343	0	2.730769231	7.293813514	13	13	2.653846154	3.666666667	0.039575491	0.308247886	NA	NA	NA	5.547579994	3.791167704	13	13	0	0	0	0	2.916333314	-0.687737583	5.461538462	4	3.666666667	0.754342186
M_PL_046	56.066667	10.233333	0.394886364	0.466666667	4.633333333	20.88563877	44	16	2.855179704	9.516666667	0	0.266978615	NA	NA	NA	17.17369524	5.118815142	16	12	3	1	0.1875	0.25	7.487767825	1.516036046	17.2	18	9.44	0.583634364
