web,plant,symmetry,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_001,Phacelia secunda,actinomorphic,25,21,1.83132530120482,1
M_PL_001,Senecio bustillosianus,actinomorphic,22,21,2.12048192771084,2
M_PL_001,Stachys albi,zygomorphic,14,14,1.27710843373494,1
M_PL_001,Adesmia conferta,zygomorphic,13,12,0.975903614457831,1
M_PL_001,Calandrinia affinis,actinomorphic,13,9,1.16867469879518,1
M_PL_001,Senecio erucaeformis,actinomorphic,13,10,1.08433734939759,1
M_PL_001,Astragalus curvicaulis,zygomorphic,10,8,0.807228915662651,0
M_PL_001,Chaetanthera euphrasioides,actinomorphic,10,8,0.72289156626506,0
M_PL_001,Adesmia radicifolia,zygomorphic,9,8,0.927710843373494,1
M_PL_001,Mulinum spinosum,actinomorphic,8,7,0.903614457831325,1
M_PL_001,Sisyrinchium arenarium,actinomorphic,8,4,0.530120481927711,0
M_PL_001,Chuquiraga oppositifolia,actinomorphic,7,7,0.759036144578313,1
M_PL_001,Scypanthus elegans,actinomorphic,7,6,0.626506024096386,0
M_PL_001,Senecio francisci,actinomorphic,7,6,0.457831325301205,0
M_PL_001,Verbena scoparia,actinomorphic,7,6,0.63855421686747,0
M_PL_001,Adesmia aconcaguensis,zygomorphic,6,5,0.783132530120482,1
M_PL_001,Berberis empetrifolia,actinomorphic,6,6,0.72289156626506,0
M_PL_001,Calandrinia uspallatensis,actinomorphic,6,6,0.987951807228916,1
M_PL_001,Cerastium arvense,actinomorphic,6,4,0.710843373493976,1
M_PL_001,Haplopappus sericeus,actinomorphic,6,6,0.843373493975904,1
M_PL_001,Hypochoeris sp1 M_PL_001,actinomorphic,6,5,0.650602409638554,0
M_PL_001,Mustisia sinuata,actinomorphic,6,5,0.867469879518072,1
M_PL_001,Adesmia brachy,zygomorphic,5,5,0.783132530120482,1
M_PL_001,Alstroemeria pallida,actinomorphic,5,5,0.385542168674699,0
M_PL_001,Astragalus sp1 M_PL_001,zygomorphic,5,5,0.481927710843373,0
M_PL_001,Euphorbia portulacoides,actinomorphic,5,3,0.674698795180723,1
M_PL_001,Madia sativa,actinomorphic,5,2,0.168674698795181,0
M_PL_001,Nassauvia heterophylla,actinomorphic,5,3,0.156626506024096,0
M_PL_001,Perezia carthamoides,actinomorphic,5,5,0.481927710843373,0
M_PL_001,Sisyrinchium junceum,actinomorphic,5,4,0.289156626506024,0
M_PL_001,Anarthrophyllum cumingii,zygomorphic,4,4,0.265060240963855,0
M_PL_001,Loasa heterophylla,actinomorphic,4,4,0.469879518072289,0
M_PL_001,Quinchamalium chilensis,actinomorphic,4,4,0.710843373493976,1
M_PL_001,Sanicula graveolens,actinomorphic,4,3,0.650602409638554,1
M_PL_001,Sisyrinchium philippii,actinomorphic,4,4,0.72289156626506,1
M_PL_001,Adesmia exilis,zygomorphic,3,2,0.0481927710843374,0
M_PL_001,Bowlesia tropaeolifolia,actinomorphic,3,3,0.710843373493976,1
M_PL_001,Calceolaria montana,zygomorphic,3,3,0.36144578313253,0
M_PL_001,Chaetanthera microphylla,actinomorphic,3,3,0.433734939759036,0
M_PL_001,Haplopappus chysanthemifolius,actinomorphic,3,3,0.686746987951807,1
M_PL_001,Leucocoryne pauciflora,actinomorphic,3,3,0.590361445783133,0
M_PL_001,Mustisia acerosa,actinomorphic,3,3,0.216867469879518,0
M_PL_001,Mustisia subulata,actinomorphic,3,3,0.265060240963855,0
M_PL_001,Oxalis cinerea,actinomorphic,3,3,0.710843373493976,1
M_PL_001,Oxalis geminata,actinomorphic,3,2,0.313253012048193,0
M_PL_001,Oxalis sp1 M_PL_001,actinomorphic,3,3,0.55421686746988,0
M_PL_001,Schizanthus grahamii,actinomorphic,3,3,0.36144578313253,0
M_PL_001,Senecio lithostaurus,actinomorphic,3,3,0.590361445783133,1
M_PL_001,Valeriana gracileps,actinomorphic,3,2,0.63855421686747,1
M_PL_001,Asteriscium aemocarpon,actinomorphic,2,2,0.289156626506024,0
M_PL_001,Berberis montana,actinomorphic,2,2,0.493975903614458,0
M_PL_001,Erodium cicutarium,actinomorphic,2,2,0.63855421686747,1
M_PL_001,Leuceria landbeckii,actinomorphic,2,2,0.542168674698795,0
M_PL_001,Nardophyllum lanatum,actinomorphic,2,2,0.337349397590361,0
M_PL_001,Rhodophiala montana,actinomorphic,2,2,0.518072289156627,0
M_PL_001,Trichocereus chiloensis,actinomorphic,2,0,0,0
