plant	web	Latitude	lat.x	lat.sc	symmetry	PC1	PC2	PC3	PC4	pc1.sc	pc2.sc	pc3.sc	pc4.sc	n.poll	n.shared	rel.mn.n.shared
Phacelia secunda	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Actinomorphic	-24.6337863574834	12.01314012968	17.111929361105	-1.39723371380603	-0.789857515502084	0.514314247383817	1.24361991735354	-0.141033068826462	25	21	0.0732530120481928
Senecio bustillosianus	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Actinomorphic	-33.5927351895814	18.2095794647601	-25.8786235005875	-1.70625536669384	-1.07711717438443	0.779600175848725	-1.88074476816013	-0.172224895655401	22	21	0.0963855421686746
Stachys albi	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Zygomorphic	-30.9185293323622	15.0384218419801	26.4952494268128	-3.95142887241399	-0.991371460604516	0.643834545173526	1.92555843395012	-0.398846760294674	14	14	0.0912220309810672
Adesmia conferta	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Zygomorphic	8.57582099402813	-38.2039820449326	-2.29621343397506	-23.4002100812036	0.2749750511527	-1.63561334175728	-0.166878713716344	-2.36195520214466	13	12	0.0750695088044485
Calandrinia affinis	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Actinomorphic	1.83913906330855	-4.65221311162614	2.63016874611776	14.4393429625166	0.0589701392277613	-0.199173526600564	0.191149119988046	1.45746901876159	13	9	0.0898980537534754
Senecio erucaeformis	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Actinomorphic	-33.5927351895814	18.2095794647601	-25.8786235005875	-1.70625536669384	-1.07711717438443	0.779600175848725	-1.88074476816013	-0.172224895655401	13	10	0.0834105653382762
Astragalus curvicaulis	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Zygomorphic	8.38712003291249	-39.3920484016223	-2.42422199649519	-25.305645228729	0.268924545146165	-1.68647759935245	-0.176181814178159	-2.55428477711125	10	8	0.0807228915662651
Chaetanthera euphrasioides	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Actinomorphic	-32.3854282849048	17.5248117706585	-24.0734532111529	-1.45234431685764	-1.03840609609797	0.750283462864208	-1.7495529148757	-0.146595787072126	10	8	0.072289156626506
Adesmia radicifolia	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Zygomorphic	8.57582099402813	-38.2039820449326	-2.29621343397506	-23.4002100812036	0.2749750511527	-1.63561334175728	-0.166878713716344	-2.36195520214466	9	8	0.103078982597055
Mulinum spinosum	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Actinomorphic	-23.8429487545185	12.172438600592	-7.98280065294781	0.792391463192513	-0.764500105350895	0.521134235521147	-0.580154912913202	0.0799818946978577	8	7	0.112951807228916
Sisyrinchium arenarium	M_PL_001	-33.283334	5.76917099763909	0.356092789864309	Actinomorphic	70.1475399268857	34.3040136345752	-0.78041227550917	-8.37964316712116	2.24921012146399	1.46864539697838	-0.0567169387559773	-0.845818977779012	8	4	0.0662650602409639
