web	Latitude	Longitude	symmetry	connectance	web.asymmetry	links.per.species	nestedness	n.aff	n.hosts	host.sharing	aff.sharing	modularity	z.est	coex.plant	coex.poll
M_PL_064	-20.75	-42.92	Zygomorphic	0.34375	0	1.375	32.7011145618859	8	8	0.857142857142857	1	0.347107470035553	0.454855657257903	3.02203581077502	2.28785132182867
M_PL_064	-20.75	-42.92	Actinomorphic	0.555555555555556	-0.333333333333333	1.11111111111111	10.8353966886385	3	6	1.66666666666667	1.06666666666667	0.234999984502792	0.329773403859715	0.534887429114007	0.373576094787392
M_PL_001	-33.283334	-70.266668	Zygomorphic	0.113573407202216	0.333333333333333	1.43859649122807	10.2088451458225	38	19	0.423897581792319	0.584795321637427	0.480740636587143	0.646172955364562	0.456779972330705	0.259280989890794
M_PL_001	-33.283334	-70.266668	Actinomorphic	0.0471682163989856	0.166666666666667	1.78846153846154	2.73990476728622	91	65	0.266178266178266	0.536538461538462	0.483485579490662	0.610203222920559	2.00002951110028	1.32355543069941
M_PL_002	-33.283334	-70.266668	Zygomorphic	0.188311688311688	0.517241379310345	1	27.0649017755028	22	7	0.329004329004329	0.380952380952381	0.591557621955872	0.85416976146122	0.460086500712704	0.242485554815964
M_PL_002	-33.283334	-70.266668	Actinomorphic	0.0859053497942387	0.2	1.85555555555556	7.92191430759627	54	36	0.390635918937806	0.655555555555556	0.456954389810562	0.527949466398329	1.77859010367613	1.37065169730845
M_PL_003	-33.283334	-70.266668	Zygomorphic	0.240740740740741	0.2	0.866666666666667	27.1053211001841	9	6	0.361111111111111	0.466666666666667	0.588757395744324	0.787413566086416	0.441420234153667	0.260606639411069
M_PL_003	-33.283334	-70.266668	Actinomorphic	0.0906666666666667	-0.0909090909090909	1.23636363636364	5.28253862334983	25	30	0.283333333333333	0.411494252873563	0.604887545108795	0.610401813733013	1.74865806603489	0.999990167207423
M_PL_058	42.2973	3.235217	Zygomorphic	0.265432098765432	0.636363636363636	1.3030303030303	21.5249783592436	27	6	0.757834757834758	1.4	0.310708463191986	0.695671491372656	0.450310460341132	0.267107554293013
M_PL_058	42.2973	3.235217	Actinomorphic	0.139676113360324	0.490196078431373	2.70588235294118	12.9694965830219	76	26	0.743157894736842	2.69230769230769	0.13334909081459	0.494081148777588	4.01756204320872	1.90797544916136
M_PL_049	56.066667	10.216667	Zygomorphic	0.135476463834673	0.675	1.475	16.7746484490532	67	13	0.318860244233379	1.66666666666667	0.465706706047058	0.733798800978862	0.442020158521158	0.195227870234062
M_PL_049	56.066667	10.216667	Actinomorphic	0.094551282051282	0.793103448275862	2.03448275862069	8.68142358174103	208	24	0.364316239316239	3.5	0.408404588699341	0.648288052367225	5.77107205717649	1.33714735434021
M_PL_066	-22.5	-44.83	Zygomorphic	0.525641025641026	-0.368421052631579	2.15789473684211	19.1695607703302	6	13	3.26666666666667	2.32051282051282	0.0461035072803497	0.235096294374768	4.06526843049727	5.91164746190391
M_PL_066	-22.5	-44.83	Actinomorphic	0.7	-0.565217391304348	2.73913043478261	16.1521993546115	5	18	8.7	2.67320261437908	0	0.0884588556378641	2.51133279282183	8.52092856131312
M_PL_005	38.841784	-105.043821	Zygomorphic	0.118229166666667	0.655172413793103	1.95689655172414	7.85560969714981	96	20	0.621710526315789	1.8	0.29209765791893	0.614692479150132	0.512389795508436	0.239396463081101
M_PL_005	38.841784	-105.043821	Actinomorphic	0.0357730263157895	0.542168674698795	2.09638554216867	1.89460235804055	256	76	0.287438725490196	0.814035087719298	0.34838342666626	0.637795452009739	2.80824675237464	1.38720361879321
M_PL_006	52.762395	1.575532	Zygomorphic	0.25	0.555555555555556	1.55555555555556	14.0500576849383	28	8	0.939153439153439	2.42857142857143	0.111447677016258	0.619831831958621	0.717536448990223	0.373220764226691
M_PL_006	52.762395	1.575532	Actinomorphic	0.181818181818182	0.71875	1.40625	12.2439908128024	55	9	0.91986531986532	1.69444444444444	0.281111121177673	0.777039669760085	2.17316914340117	1.08344114434507
M_PL_007	52.413173	1.097873	Zygomorphic	0.4	-0.111111111111111	0.888888888888889	20.2940081976168	4	5	0.666666666666667	0.7	0.4140625	0.553317718149026	0.144940592288095	0.0821109083177728
M_PL_007	52.413173	1.097873	Actinomorphic	0.194444444444444	0.531914893617021	1.63829787234043	21.6680239976585	36	11	0.671428571428571	1.52727272727273	0.340445280075073	0.600417033993485	4.76091149258554	1.8396306558086
M_PL_008	28.216667	-16.633333	Zygomorphic	0.28	0.666666666666667	1.16666666666667	38.134682877593	25	5	0.446666666666667	1.6	0.486938774585724	0.796158449857224	1.47726483033094	0.619260101910208
M_PL_008	28.216667	-16.633333	Actinomorphic	0.369791666666667	0.684210526315789	1.86842105263158	39.436994672139	32	6	0.86491935483871	4.4	0.271870672702789	0.504007623282645	3.69510878039076	1.43016176028559
M_PL_016	37.016667	-6.55	Zygomorphic	0.178571428571429	0.75	1.25	20.7036836245583	56	8	0.392207792207792	1.5	0.532109379768372	0.78972880103077	0.460568057671696	0.217082846573255
